doc	start	end	link	type	surfaceForm	tac	errorType	errorCause	inGold	goldLink	Spotlight	Babelnet	Aida	Recognyze	Comments
BUS03	0	5	http://dbpedia.org/resource/Cairo	Location	Cairo	wrong-link	Annotator		1	http://dbpedia.org/resource/Cairo_(operating_system)	0	0	1	0	
BUS04	25	30	http://dbpedia.org/resource/Larry_Bird	Person	Larry	wrong-link	Annotator		1	http://dbpedia.org/resource/Larry_Page	0	0	1	0	
BUS04	7	11	http://dbpedia.org/resource/Bill_Clinton	Person	Bill	wrong-link	Annotator		1	http://dbpedia.org/resource/Bill_Gates	0	0	1	0	
BUS05	9	13	http://dbpedia.org/resource/Theo_van_Gogh_(art_dealer)	Person	Theo	wrong-link	Annotator		1	http://dbpedia.org/resource/Theo_Albrecht	1	0	0	0	
CEL01	0	5	http://dbpedia.org/resource/David_Bowie	Person	David	wrong-link	Annotator		1	http://dbpedia.org/resource/David_Beckham	0	0	1	0	
CEL01	10	18	http://dbpedia.org/resource/Australia	Location	Victoria	wrong-link	Annotator		1	http://dbpedia.org/resource/Victoria_Beckham	0	0	1	0	
CEL01	10	18	http://dbpedia.org/resource/Queen_Victoria	Person	Victoria	wrong-link	Annotator		1	http://dbpedia.org/resource/Victoria_Beckham	0	1	0	0	
CEL01	10	18	http://dbpedia.org/resource/Victoria_(Australia)	Location	Victoria	wrong-link	Annotator		1	http://dbpedia.org/resource/Victoria_Beckham	1	0	0	0	
CEL01	40	48	http://dbpedia.org/resource/Brooklyn	Location	Brooklyn	extra	Annotator		0		1	0	1	0	
CEL01	50	55	http://dbpedia.org/resource/So_Solid_Crew	Organisation	Romeo	extra	Annotator		0		0	0	1	0	
CEL01	57	61	http://dbpedia.org/resource/Taio_Cruz	Person	Cruz	extra	Annotator		0		0	0	1	0	
CEL02	10	18	http://dbpedia.org/resource/Australia	Location	Victoria	wrong-link	Annotator		1	http://dbpedia.org/resource/Victoria_Beckham	0	0	1	0	
