doc	start	end	link	type	surfaceForm	tac	errorType	errorCause	inGold	goldLink	Spotlight	Babelnet	AIDA	Recognyze	Comments
0	53	57	http://dbpedia.org/resource/Lohn,_Schaffhausen	Location	Lohn	extra	Annotator		0		0	0	1	0	
0	59	71	http://dbpedia.org/resource/Germany	Location	West Germany	wrong-link	Annotator		1	http://dbpedia.org/resource/West_Germany	1	0	0	0	
10	0	2	http://dbpedia.org/resource/Nevada	Location	NV	extra	Annotator		0		0	1	0	0	
1	0	10	http://dbpedia.org/resource/Key_Tronic	Organisation	Key Tronic	extra	Annotator		0		0	1	0	0	
10	141	144	http://dbpedia.org/resource/Der_(Sumer)	Location	der	extra	Annotator		0		0	1	0	0	
10	203	208	http://dbpedia.org/resource/Netherlands	Location	Dutch	extra	Annotator		0		1	0	1	0	
10	294	302	http://dbpedia.org/resource/New_York_City	Location	New York	extra	Annotator		0		0	1	0	0	
10	294	302	http://dbpedia.org/resource/New_York	Location	New York	extra	Dataset	Missing Annotation	0		1	0	1	0	
10	356	365	http://dbpedia.org/resource/New_York_Stock_Exchange	Location	big board	extra	Annotator		0		0	1	0	0	
10	377	385	http://dbpedia.org/resource/New_York_City	Location	New York	wrong-link	Annotator		1	http://dbpedia.org/resource/New_York	0	1	0	0	
10	79	87	http://dbpedia.org/resource/New_York_City	Location	New York	extra	Annotator		0		0	1	0	0	
11	249	253	http://dbpedia.org/resource/United_Kingdom	Location	U.K.	extra	Dataset	Missing Annotation	0		1	1	1	0	
11	265	277	http://dbpedia.org/resource/Germany	Location	West-Germany	wrong-link	Annotator		1	http://dbpedia.org/resource/West_Germany	1	0	1	0	
11	4	17	http://dbpedia.org/resource/European_Economic_Community	Organisation	EC Commission	wrong-link	Annotator		1	http://dbpedia.org/resource/European_Commission	0	0	1	0	
11	4	6	http://dbpedia.org/resource/European_Economic_Community	Location	EC	extra	Annotator		0		1	0	0	0	
12	105	109	http://dbpedia.org/resource/Bell_Sports	Organisation	Bell	extra	Annotator		0		0	1	0	0	
12	76	85	http://dbpedia.org/resource/Pemberton,_Greater_Manchester	Location	Pemberton	extra	Annotator		0		1	0	0	0	
12	76	85	http://dbpedia.org/resource/Pemberton,_Western_Australia	Location	Pemberton	extra	Annotator		0		0	1	0	0	
12	86	93	http://dbpedia.org/resource/Houston	Location	Houston	extra	Annotator		0		1	0	0	0	
13	144	160	http://dbpedia.org/resource/Salomon_Brothers	Organisation	Salomon Brothers	extra	Annotator		0		1	1	0	0	
13	152	160	http://dbpedia.org/resource/Brother_Industries	Organisation	Brothers	extra	Annotator		0		0	1	0	0	
13	367	371	http://dbpedia.org/resource/United_States	Location	U.S.	extra	Dataset	Missing Annotation	0		0	1	1	0	
14	0	10	http://dbpedia.org/resource/Volkswagen	Organisation	Volkswagen	extra	Annotator		0		0	1	0	0	
14	0	13	http://dbpedia.org/resource/Volkswagen	Organisation	Volkswagen AG	wrong-link	Annotator		1	http://dbpedia.org/resource/Volkswagen_Group	0	0	1	0	
14	1022	1024	http://dbpedia.org/resource/Volkswagen	Organisation	VW	wrong-link	Annotator		1	http://dbpedia.org/resource/Volkswagen_Group	1	1	0	0	
14	22	24	http://dbpedia.org/resource/Volkswagen	Organisation	VW	wrong-link	Annotator		1	http://dbpedia.org/resource/Volkswagen_Group	1	1	0	0	
14	257	260	http://dbpedia.org/resource/Volkswagen	Organisation	VWs	extra	Dataset	Missing Annotation	0		0	1	0	0	
14	358	360	http://dbpedia.org/resource/Volkswagen	Organisation	VW	wrong-link	Annotator		1	http://dbpedia.org/resource/Volkswagen_Group	1	1	0	0	
14	599	601	http://dbpedia.org/resource/Volkswagen	Organisation	VW	wrong-link	Annotator		1	http://dbpedia.org/resource/Volkswagen_Group	1	1	0	0	
15	0	16	http://dbpedia.org/resource/Toronto-Dominion_Bank	Organisation	Toronto Dominion	extra	Annotator		0		0	1	0	0	
15	0	7	http://dbpedia.org/resource/Toronto	Location	Toronto	extra	Annotator		0		1	1	0	0	
15	156	168	http://dbpedia.org/resource/Hambros_Bank	Organisation	Hambros Bank	extra	Annotator		0		1	1	0	0	
15	23	29	http://dbpedia.org/resource/Nassau_County,_New_York	Location	Nassau	extra	Dataset	Missing Annotation	0		1	0	0	0	
15	240	250	http://dbpedia.org/resource/Australia	Location	Australian	extra	Annotator		0		1	1	1	0	
15	278	284	http://dbpedia.org/resource/Greater_London	Location	London	wrong-link	Annotator		1	http://dbpedia.org/resource/London	0	1	0	0	
15	57	67	http://dbpedia.org/resource/Australia	Location	Australian	extra	Annotator		0		1	1	1	0	
15	68	71	http://dbpedia.org/resource/Docklands_Light_Railway	Location	dlr	extra	Annotator		0		1	0	0	0	
15	8	21	http://dbpedia.org/resource/The_Dominion_Bank	Organisation	Dominion Bank	extra	Annotator		0		0	1	0	0	
16	0	16	http://dbpedia.org/resource/Toronto-Dominion_Bank	Organisation	Toronto Dominion	extra	Annotator		0		0	1	0	0	
16	0	7	http://dbpedia.org/resource/Toronto	Location	Toronto	extra	Annotator		0		1	1	0	0	
16	156	168	http://dbpedia.org/resource/Hambros_Bank	Organisation	Hambros Bank	extra	Annotator		0		1	1	0	0	
16	23	29	http://dbpedia.org/resource/Nassau_County,_New_York	Location	Nassau	extra	Dataset	Missing Annotation	0		1	0	0	0	
16	240	250	http://dbpedia.org/resource/Australia	Location	Australian	extra	Annotator		0		1	1	1	0	
16	278	284	http://dbpedia.org/resource/Greater_London	Location	London	wrong-link	Annotator		1	http://dbpedia.org/resource/London	0	1	0	0	
16	57	67	http://dbpedia.org/resource/Australia	Location	Australian	extra	Annotator		0		1	1	1	0	
16	68	71	http://dbpedia.org/resource/Docklands_Light_Railway	Location	dlr	extra	Annotator		0		1	0	0	0	
16	8	21	http://dbpedia.org/resource/The_Dominion_Bank	Organisation	Dominion Bank	extra	Annotator		0		0	1	0	0	
17	216	219	http://dbpedia.org/resource/Don_River_(Russia)	Location	Don	extra	Annotator		0		1	0	0	0	
17	245	250	http://dbpedia.org/resource/Portland,_Oregon	Location	Salem	wrong-link	Annotator		1	http://dbpedia.org/resource/Salem,_Oregon	0	0	1	0	
17	245	250	http://dbpedia.org/resource/Salem,_Tamil_Nadu	Location	Salem	wrong-link	Annotator		1	http://dbpedia.org/resource/Salem,_Oregon	1	0	0	0	
17	251	254	http://dbpedia.org/resource/Orange_Municipal_Airport	Location	Ore	wrong-link	Annotator		1	http://dbpedia.org/resource/Oregon	0	0	1	0	
18	0	5	http://dbpedia.org/resource/Helen_of_Troy	Person	Helen	extra	Annotator		0		0	0	1	0	
18	322	327	http://dbpedia.org/resource/Helen_Mirren	Person	Helen	extra	Annotator		0		0	0	1	0	
18	331	335	http://dbpedia.org/resource/Troy	Location	Troy	extra	Annotator		0		1	0	0	0	
